miRNA,Target Gene
mmu-miR-100-5p,Pms2
mmu-miR-100-5p,Pms2
mmu-miR-100-5p,
mmu-miR-100-5p,Grk6
mmu-miR-101a-3p,Fat1
mmu-miR-101a-3p,Gpr98
mmu-miR-101a-3p,Piezo2
mmu-miR-101a-3p,Muc5b
mmu-miR-101a-3p,Crebrf
mmu-miR-101a-3p,Fat1
mmu-miR-101a-3p,Muc5b
mmu-miR-101a-3p,Smarca4
mmu-miR-101a-3p,Smarca4
mmu-miR-101a-3p,Me1
mmu-miR-101a-3p,Radil
mmu-miR-101a-3p,Eng
mmu-miR-101a-3p,Eng
mmu-miR-101a-3p,Akap8
mmu-miR-101a-3p,Trim23
mmu-miR-101a-3p,Draxin
mmu-miR-101a-3p,Grem2
mmu-miR-101a-3p,Pcdhb14
mmu-miR-101a-3p,Mxd4
mmu-miR-101a-3p,Dpy19l1
mmu-miR-101a-3p,Eng
mmu-miR-101a-3p,Ppp1r16a
mmu-miR-101a-3p,Eng
mmu-miR-101a-3p,Fat1
mmu-miR-101a-3p,Plxdc1
mmu-miR-101a-3p,Hsf2bp
mmu-miR-101a-3p,Eif6
mmu-miR-101a-3p,Ifit3
mmu-miR-101a-3p,Rnf187
mmu-miR-101a-3p,Ppp1r16a
mmu-miR-101a-5p,Pkn2
mmu-miR-101a-5p,Elp4
mmu-miR-101a-5p,Kcnq5
mmu-miR-101a-5p,Myo9a
mmu-miR-101a-5p,Zmym4
mmu-miR-101a-5p,Rnf169
mmu-miR-101a-5p,Akap9
mmu-miR-101a-5p,Evi5
mmu-miR-101a-5p,Evi5
mmu-miR-101a-5p,Bace1
mmu-miR-101a-5p,Zfp148
mmu-miR-101a-5p,Cntrl
mmu-miR-101a-5p,Kcnq5
mmu-miR-101a-5p,Strbp
mmu-miR-101a-5p,Srpk2
mmu-miR-101a-5p,Maf
mmu-miR-101a-5p,Eef2k
mmu-miR-101a-5p,Ubr5
mmu-miR-101a-5p,Tmem245
mmu-miR-101a-5p,Evi5
mmu-miR-101a-5p,Pkn2
mmu-miR-101a-5p,Tmem245
mmu-miR-101a-5p,Adcy1
mmu-miR-101a-5p,Kif5b
mmu-miR-101a-5p,Reln
mmu-miR-101a-5p,Erc2
mmu-miR-101a-5p,Mink1
mmu-miR-101a-5p,Tex11
mmu-miR-101a-5p,Slc5a9
mmu-miR-101a-5p,Arpp21
mmu-miR-101b-3p,Ino80d
mmu-miR-101b-3p,Smarca4
