,Sample,Detector,Avg 3m Ct1,Avg 3m Ct2,Avg 3m Ct3,Media 3m ct,Avg 6m Ct1,Avg 6m Ct2,Media 6m ct,MEDIA CT 12 MESI,RQ1 3m ,RQ2 3m,RQ3 3m,Media RQ 3m,RQ1 6m,RQ2 6m,Media RQ 6m,RQ 12 MESI,Targets
516,HF_3mesi:setA_1,mmu-miR-501-3p-001651,40.0,40.0,38.72,39.5733333333333,34.419,40.0,37.2095,0.0,0.349,0.0,2.859,1.604,4.311,0.005,2.158,0.0,"Slc39a14,Bcl2l11,Tmc7,Mtx3,Rdh1,Impad1,Sin3a,Rccd1,Wtap,Txlnb,Ube2v2,Cps1,Cmtm7,Fam214b,Midn,Aak1"
517,"LF_3mesi,setA_1",mmu-miR-501-3p-001651,38.792,40.0,40.0,39.5973333333333,36.03,32.096,34.063,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,"Slc39a14,Bcl2l11,Tmc7,Mtx3,Rdh1,Impad1,Sin3a,Rccd1,Wtap,Txlnb,Ube2v2,Cps1,Cmtm7,Fam214b,Midn,Aak1"
518,HF_3mesi:setA_1,mmu-miR-503-002456,35.338,36.364,33.767,35.1563333333333,35.978,33.763,34.8705,0.0,0.595,0.626,3.535,1.58533333333333,0.35,5.341,2.8455,0.0,
519,"LF_3mesi,setA_1",mmu-miR-503-002456,34.898,35.254,35.353,35.1683333333333,33.967,35.994,34.9805,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,
520,HF_3mesi:setA_1,mmu-miR-504-002084,40.0,40.0,40.0,40.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
521,"LF_3mesi,setA_1",mmu-miR-504-002084,40.0,40.0,40.0,40.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
522,HF_3mesi:setA_1,mmu-miR-505-001655,40.0,40.0,40.0,40.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.437846690416336,
523,"LF_3mesi,setA_1",mmu-miR-505-001655,40.0,40.0,40.0,40.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
524,HF_3mesi:setA_1,mmu-miR-509-3p-002521,34.219,37.145,35.824,35.7293333333333,34.069,36.014,35.0415,0.0,1.813,0.298,0.185,0.765333333333333,1.093,0.184,0.6385,0.0,"Mrpl41,Fmo5,Frmpd4,Ptpn3"
525,"LF_3mesi,setA_1",mmu-miR-509-3p-002521,35.388,34.961,33.154,34.501,33.7,33.383,33.5415,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"Mrpl41,Fmo5,Frmpd4,Ptpn3"
